UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
The Express Tribune,@etribune,2022-01-13T14:35:44.000Z,"The Express Tribune
@etribune
·
13 Jan","Submarine cable fault slows #internet across #Pakistan
#etribune

https://tribune.com.pk/story/2338550/submarine-cable-fault-slows-internet-across-pakistan-1…
4
20
64",,4,20,64,[],https://twitter.com/etribune/status/1481636085868339205
The Express Tribune,@etribune,2022-01-13T18:04:52.000Z,"The Express Tribune
@etribune
·
13 Jan","#UK banned #Huawei because of '#US pressure': former minister
#etribune

https://tribune.com.pk/story/2338558/uk-banned-huawei-because-of-us-pressure-former-minister…
1
4
16",,1,4,16,[],https://twitter.com/etribune/status/1481688711893065734
The Express Tribune,@etribune,2022-01-13T19:34:11.000Z,"The Express Tribune
@etribune
·
14 Jan","PM #ImranKhan and #PervezKhattak engage in 'heated argument' during parliamentary meeting
#etribune 
https://tribune.com.pk/story/2338577/pm-imran-khattak-engage-in-heated-argument-during-parliamentary-meeting…
1
3
15",,1,3,15,[],https://twitter.com/etribune/status/1481711191986688000
The Express Tribune,@etribune,2022-01-13T20:45:54.000Z,"The Express Tribune
@etribune
·
14 Jan","‘#BJP’s extremist policies threat for regional peace’, Qureshi tells Canadian counterpart
#etribune 

https://tribune.com.pk/story/2338579/bjps-extremist-policies-threat-for-regional-peace-qureshi-tells-canadian-counterpart…
4
2
10",,4,2,10,[],https://twitter.com/etribune/status/1481729238550122511
The Express Tribune,@etribune,2022-01-14T14:23:55.000Z,"The Express Tribune
@etribune
·
14 Jan","#Pakistan's first-ever security policy a step in a right direction: #COAS Gen Qamar Javed
#etribune 

https://tribune.com.pk/story/2338710/pakistans-first-ever-security-policy-a-step-in-right-direction-coas…
3
40",,,3,40,[],https://twitter.com/etribune/status/1481995496893956097
The Express Tribune,@etribune,2022-01-14T20:05:16.000Z,"The Express Tribune
@etribune
·
15 Jan","#WATCH 
Rally held in favour of presidential form of govt in #Pakistan
#etribune 

https://tribune.com.pk/story/2338749/rally-held-in-favour-of-presidential-form-of-govt-in-pakistan…
2
2
21",,2,2,21,[],https://twitter.com/etribune/status/1482081402980085764
The Express Tribune,@etribune,2022-01-14T19:19:00.000Z,"The Express Tribune
@etribune
·
15 Jan","Pakistan unveils permanent residency scheme for foreigners
#etribune
tribune.com.pk
Pakistan unveils permanent residency scheme for foreigners
Fawad Chaudhry announced on Friday that government has decided to allow permanent residency scheme for foreign nationals
5
12
42",,5,12,42,[],https://twitter.com/etribune/status/1482069757591527430
The Express Tribune,@etribune,2022-01-14T17:07:17.000Z,"The Express Tribune
@etribune
·
14 Jan","One terrorist killed, two others held in North Waziristan IBO
#etribune

https://tribune.com.pk/story/2338723/one-terrorist-killed-two-others-held-in-north-waziristan-ibo…
3
1
16",,3,1,16,[],https://twitter.com/etribune/status/1482036608723566592
The Express Tribune,@etribune,2022-01-15T19:56:10.000Z,"The Express Tribune
@etribune
·
16 Jan","'Tehran, Riyadh getting ready to reopen embassies'

Read here http://bit.ly/3GBi9xo

#etribune #latest
2
7
42",,2,7,42,[],https://twitter.com/etribune/status/1482441499103178758
The Express Tribune,@etribune,2022-01-15T18:07:41.000Z,"The Express Tribune
@etribune
·
15 Jan","Opposition demands placing NSP before parliament

Read here http://bit.ly/3trOQtn

#etribune #latest
2
10",,,2,10,[],https://twitter.com/etribune/status/1482414199544426496
The Express Tribune,@etribune,2022-01-15T19:28:22.000Z,"The Express Tribune
@etribune
·
16 Jan","Twitter suspends account linked to Iran's supreme leader after Trump threat

Read here http://bit.ly/3GzINq7

#etribune #latest
3
2
8",,3,2,8,[],https://twitter.com/etribune/status/1482434505046638593
The Express Tribune,@etribune,2022-01-15T12:43:19.000Z,"The Express Tribune
@etribune
·
15 Jan","China slams US sanctions on Iran as cooperation agreement launched
#etribune
tribune.com.pk
China, Iran announce launch of 25-year cooperation agreement
China reaffirmed its opposition to unilateral sanctions by the US against Iran as the Chinese and Iranian foreign ministers announced launch of cooperation agreement
1
4
27",,1,4,27,[],https://twitter.com/etribune/status/1482332569698017280
The Express Tribune,@etribune,2022-01-16T14:44:49.000Z,"The Express Tribune
@etribune
·
16 Jan","#Karachi sees alarming surge in Covid cases as positivity rate nears 40%
#etribune
tribune.com.pk
Karachi’s Covid positivity rate skyrockets to 40%
Omicron sets off alarm bells as country’s new virus cases cross 4,000 for 2nd day in a row
5
15
51",,5,15,51,[],https://twitter.com/etribune/status/1482725534144643072
The Express Tribune,@etribune,2022-01-16T14:30:09.000Z,"The Express Tribune
@etribune
·
16 Jan","Afghan Taliban pledge return of all girls to schools by March
#etribune
tribune.com.pk
Afghan Taliban pledge return of all girls to schools by March
Girls, beyond grade 7,  haven't been able to return to schools in most of Afghanistan
1
5
23",,1,5,23,[],https://twitter.com/etribune/status/1482721843547103234
The Express Tribune,@etribune,2022-01-16T17:50:57.000Z,"The Express Tribune
@etribune
·
16 Jan","#WATCH: Animal rights activists slam Turkish camel wrestling festival
#etribune
https://tribune.com.pk/story/2339029/1
1
2
11",,1,2,11,[],https://twitter.com/etribune/status/1482772375657721857
The Express Tribune,@etribune,2022-01-16T15:47:54.000Z,"The Express Tribune
@etribune
·
16 Jan","Spanish Civil War bomb found after man recalls childhood attack

Read here http://bit.ly/3rgTQOI

#etribune #latest
2
4",,,2,4,[],https://twitter.com/etribune/status/1482741408582840323
The Express Tribune,@etribune,2022-01-17T18:54:50.000Z,"The Express Tribune
@etribune
·
17 Jan","Law ministry notifies Justice Bandial's appointment as next Chief Justice of #Pakistan
#etribune 
https://tribune.com.pk/story/2339131/law-ministry-notifies-justice-bandials-appointment-as-next-cjp…
4
2
24",,4,2,24,[],https://twitter.com/etribune/status/1483150840429006850
The Express Tribune,@etribune,2022-01-17T18:46:07.000Z,"The Express Tribune
@etribune
·
17 Jan","Pakistan ‘successfully completes’ trial of Chinese herbal medicine to fight #Covid
#etribune
https://tribune.com.pk/story/2339136/1
2
7
29",,2,7,29,[],https://twitter.com/etribune/status/1483148647508455439
The Express Tribune,@etribune,2022-01-17T16:13:37.000Z,"The Express Tribune
@etribune
·
17 Jan","Punjab bars unvaccinated students from attending schools
#etribune #COVID19
#Omicron
tribune.com.pk
Punjab bars unvaccinated students from attending schools
Punjab Education Minister Murad Raas has said that unvaccinated students, who are eligible for Covid vaccination, will not be allowed to attend classes
1
7
13",,1,7,13,[],https://twitter.com/etribune/status/1483110267521282054
The Express Tribune,@etribune,2022-01-17T14:57:09.000Z,"The Express Tribune
@etribune
·
17 Jan","ECP suspends membership of 150 lawmakers
#etribune #LatestNews
tribune.com.pk
ECP suspends membership of 150 lawmakers
The Election Commission of Pakistan has suspended membership of as many as 150 lawmakers over failure to submit statement of their assets and liabilities
1
5
18",,1,5,18,[],https://twitter.com/etribune/status/1483091025677717504
The Express Tribune,@etribune,2022-01-18T13:11:49.000Z,"The Express Tribune
@etribune
·
18 Jan","Pakistan, UK agree to ink pact on repatriation of convicted criminals
#etribune #latestnews
tribune.com.pk
Pakistan, UK agree to sign extradition treaty
Pakistan and the United Kingdom have agreed to finalise and sign at the earliest agreements for repatriation of convicted citizens and criminals
5
35
100",,5,35,100,[],https://twitter.com/etribune/status/1483426903302225924
The Express Tribune,@etribune,2022-01-18T13:53:49.000Z,"The Express Tribune
@etribune
·
18 Jan","‘Teleprompter glitch’ during WEF summit exposes Modi’s oratory skills
#etribune #Modi teleprompter
tribune.com.pk
WATCH: ‘Teleprompter glitch’ exposes Modi’s oratory skills
Indian prime minister was caught off guard after he abruptly paused while addressing WEF's virtual summit owing to a ‘teleprompter glitch’
2
16
39",,2,16,39,[],https://twitter.com/etribune/status/1483437472998645768
